name,link
City Transport Simulator: Tram,https://store.steampowered.com/app/2604480/City_Transport_Simulator_Tram/?snr=1_7_7_230_150_5
Journey to the Dao,https://store.steampowered.com/app/3298960/Journey_to_the_Dao/?snr=1_7_7_230_150_5
Cosmic Raze,https://store.steampowered.com/app/3129720/Cosmic_Raze/?snr=1_7_7_230_150_5
The Stone of Madness,https://store.steampowered.com/app/1309710/The_Stone_of_Madness/?snr=1_7_7_230_150_5
Little Lighthouse of Horror,https://store.steampowered.com/app/3231960/Little_Lighthouse_of_Horror/?snr=1_7_7_230_150_5
执念,https://store.steampowered.com/app/3333340/_/?snr=1_7_7_230_150_5
Exogate Initiative,https://store.steampowered.com/app/1681060/Exogate_Initiative/?snr=1_7_7_230_150_5
Beat the Humans,https://store.steampowered.com/app/2316930/Beat_the_Humans/?snr=1_7_7_230_150_5
Mysteries of Perception,https://store.steampowered.com/app/3034580/Mysteries_of_Perception/?snr=1_7_7_230_150_5
The Night Shift,https://store.steampowered.com/app/3400090/The_Night_Shift/?snr=1_7_7_230_150_5
逃离感化院 The Reformatory,https://store.steampowered.com/app/3421560/_The_Reformatory/?snr=1_7_7_230_150_5
Card Memory,https://store.steampowered.com/app/3426160/Card_Memory/?snr=1_7_7_230_150_5
NYXverse.AI,https://store.steampowered.com/app/3391170/NYXverseAI/?snr=1_7_7_230_150_5
Загадки Мифов: Сердце Афин Коллекционное издание,https://store.steampowered.com/app/3411580/Zagadki_Mifov_Serdcze_Afin_Kollekczionnoe_izdanie/?snr=1_7_7_230_150_5
Galactic Simulator,https://store.steampowered.com/app/3313930/Galactic_Simulator/?snr=1_7_7_230_150_5
Can No One Hear Me?,https://store.steampowered.com/app/3442890/Can_No_One_Hear_Me/?snr=1_7_7_230_150_5
SuperCowBoy,https://store.steampowered.com/app/3436980/SuperCowBoy/?snr=1_7_7_230_150_5
Garbage Packer,https://store.steampowered.com/app/3219550/Garbage_Packer/?snr=1_7_7_230_150_5
G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.16「淡雪は緋の哀しみ」,https://store.steampowered.com/app/3426030/GMODE__Vol16/?snr=1_7_7_230_150_5
Battle Realms: Zen Edition,https://store.steampowered.com/app/1025600/Battle_Realms_Zen_Edition/?snr=1_7_7_230_150_5
